"unique.id","file.name","label","duration","start.time","strain","rat.id","recording"
1,"T0000058","unclear",0.0261,146.4273,"WK","WK8","MSX3"
2,"T0000058","short",0.0107,156.8906,"WK","WK8","MSX3"
3,"T0000058","short-dr",0.0107,157.1491,"WK","WK8","MSX3"
4,"T0000058","complex",0.0527,158.3728,"WK","WK8","MSX3"
5,"T0000058","complex",0.0235,159.3856,"WK","WK8","MSX3"
6,"T0000058","flat",0.0399,159.5868,"WK","WK8","MSX3"
7,"T0000058","short",0.0051,160.537,"WK","WK8","MSX3"
8,"T0000058","short",0.0035,162.114,"WK","WK8","MSX3"
9,"T0000058","short",0.003,162.5159,"WK","WK8","MSX3"
10,"T0000058","short-c",0.0112,170.1754,"WK","WK8","MSX3"
11,"T0000058","flat",0.0209,170.5169,"WK","WK8","MSX3"
12,"T0000058","flat",0.0153,170.563,"WK","WK8","MSX3"
13,"T0000058","short-c",0.0092,170.713,"WK","WK8","MSX3"
14,"T0000058","flat-z",0.0281,170.881,"WK","WK8","MSX3"
15,"T0000058","short",0.0035,176.4971,"WK","WK8","MSX3"
16,"T0000058","flat",0.0296,176.6917,"WK","WK8","MSX3"
17,"T0000058","short",0.0102,177.0106,"WK","WK8","MSX3"
18,"T0000058","short",0.0015,177.6527,"WK","WK8","MSX3"
19,"T0000058","flat",0.0261,179.2291,"WK","WK8","MSX3"
20,"T0000058","flat",0.0343,179.4339,"WK","WK8","MSX3"
21,"T0000058","flat",0.0174,179.6418,"WK","WK8","MSX3"
22,"T0000058","short",0.0102,180.8834,"WK","WK8","MSX3"
23,"T0000058","short-c",0.0061,200.8504,"WK","WK8","MSX3"
24,"T0000058","short",0.0056,203.3126,"WK","WK8","MSX3"
25,"T0000058","short",0.0092,203.6602,"WK","WK8","MSX3"
26,"T0000058","flat",0.0481,203.7263,"WK","WK8","MSX3"
27,"T0000058","flat",0.0732,204.1093,"WK","WK8","MSX3"
28,"T0000058","short",0.0076,209.3649,"WK","WK8","MSX3"
29,"T0000058","short",0.0051,213.6202,"WK","WK8","MSX3"
30,"T0000058","short",0.0081,214.488,"WK","WK8","MSX3"
31,"T0000058","trill",0.046,216.004,"WK","WK8","MSX3"
32,"T0000058","flat-mz",0.0204,217.4008,"WK","WK8","MSX3"
33,"T0000058","short",0.0035,218.2272,"WK","WK8","MSX3"
