"unique.id","file.name","label","start.time","strain","rat.id","recording"
1,"T0000058","unclear",146.4273,"WK","WK8","MSX3"
2,"T0000058","short",156.8906,"WK","WK8","MSX3"
3,"T0000058","short-dr",157.1491,"WK","WK8","MSX3"
4,"T0000058","complex",158.3728,"WK","WK8","MSX3"
5,"T0000058","complex",159.3856,"WK","WK8","MSX3"
6,"T0000058","flat",159.5868,"WK","WK8","MSX3"
7,"T0000058","short",160.537,"WK","WK8","MSX3"
8,"T0000058","short",162.114,"WK","WK8","MSX3"
9,"T0000058","short",162.5159,"WK","WK8","MSX3"
10,"T0000058","short-c",170.1754,"WK","WK8","MSX3"
11,"T0000058","flat",170.5169,"WK","WK8","MSX3"
12,"T0000058","flat",170.563,"WK","WK8","MSX3"
13,"T0000058","short-c",170.713,"WK","WK8","MSX3"
14,"T0000058","flat-z",170.881,"WK","WK8","MSX3"
15,"T0000058","short",176.4971,"WK","WK8","MSX3"
16,"T0000058","flat",176.6917,"WK","WK8","MSX3"
17,"T0000058","short",177.0106,"WK","WK8","MSX3"
18,"T0000058","short",177.6527,"WK","WK8","MSX3"
19,"T0000058","flat",179.2291,"WK","WK8","MSX3"
20,"T0000058","flat",179.4339,"WK","WK8","MSX3"
21,"T0000058","flat",179.6418,"WK","WK8","MSX3"
22,"T0000058","short",180.8834,"WK","WK8","MSX3"
23,"T0000058","short-c",200.8504,"WK","WK8","MSX3"
24,"T0000058","short",203.3126,"WK","WK8","MSX3"
25,"T0000058","short",203.6602,"WK","WK8","MSX3"
26,"T0000058","flat",203.7263,"WK","WK8","MSX3"
27,"T0000058","flat",204.1093,"WK","WK8","MSX3"
28,"T0000058","short",209.3649,"WK","WK8","MSX3"
29,"T0000058","short",213.6202,"WK","WK8","MSX3"
30,"T0000058","short",214.488,"WK","WK8","MSX3"
31,"T0000058","trill",216.004,"WK","WK8","MSX3"
32,"T0000058","flat-mz",217.4008,"WK","WK8","MSX3"
33,"T0000058","short",218.2272,"WK","WK8","MSX3"
34,"T0000058","complex",218.3664,"WK","WK8","MSX3"
35,"T0000058","flat",218.7105,"WK","WK8","MSX3"
36,"T0000058","short",218.8871,"WK","WK8","MSX3"
37,"T0000058","short-c",219.8543,"WK","WK8","MSX3"
38,"T0000058","short",226.2067,"WK","WK8","MSX3"
39,"T0000058","upward ramp",228.7733,"WK","WK8","MSX3"
40,"T0000058","short-ur",229.1404,"WK","WK8","MSX3"
41,"T0000058","complex over short-ur",236.7953,"WK","WK8","MSX3"
42,"T0000058","flat",237.164,"WK","WK8","MSX3"
43,"T0000058","flat",239.5427,"WK","WK8","MSX3"
44,"T0000058","short",257.753,"WK","WK8","MSX3"
45,"T0000058","short-c",257.7879,"WK","WK8","MSX3"
46,"T0000058","complex",257.9834,"WK","WK8","MSX3"
47,"T0000058","flat",258.1729,"WK","WK8","MSX3"
48,"T0000058","flat",258.3828,"WK","WK8","MSX3"
49,"T0000058","unclear",258.6368,"WK","WK8","MSX3"
50,"T0000058","inverted-u",258.8031,"WK","WK8","MSX3"
51,"T0000058","flat",258.9813,"WK","WK8","MSX3"
52,"T0000058","flat",259.2153,"WK","WK8","MSX3"
53,"T0000058","flat",259.4257,"WK","WK8","MSX3"
54,"T0000058","short",259.6582,"WK","WK8","MSX3"
55,"T0000058","short",260.4216,"WK","WK8","MSX3"
56,"T0000058","step down",266.8016,"WK","WK8","MSX3"
57,"T0000058","short",282.3603,"WK","WK8","MSX3"
58,"T0000058","inverted-u",330.8108,"WK","WK8","MSX3"
59,"T0000058","flat",363.3914,"WK","WK8","MSX3"
60,"T0000058","short",365.807,"WK","WK8","MSX3"
61,"T0000058","flat",373.6796,"WK","WK8","MSX3"
62,"T0000058","flat",374.0538,"WK","WK8","MSX3"
63,"T0000058","flat",374.2438,"WK","WK8","MSX3"
64,"T0000058","flat",374.6114,"WK","WK8","MSX3"
65,"T0000058","flat",377.0603,"WK","WK8","MSX3"
66,"T0000058","flat",378.475,"WK","WK8","MSX3"
67,"T0000058","flat",378.6618,"WK","WK8","MSX3"
68,"T0000058","complex",378.8897,"WK","WK8","MSX3"
69,"T0000058","flat",379.1902,"WK","WK8","MSX3"
70,"T0000058","inverted-u",379.4457,"WK","WK8","MSX3"
71,"T0000058","flat",383.9436,"WK","WK8","MSX3"
72,"T0000058","step up",384.193,"WK","WK8","MSX3"
73,"T0000058","flat",384.4136,"WK","WK8","MSX3"
74,"T0000058","flat",384.6778,"WK","WK8","MSX3"
75,"T0000058","flat",384.9507,"WK","WK8","MSX3"
76,"T0000058","flat",385.177,"WK","WK8","MSX3"
77,"T0000058","step up",385.3701,"WK","WK8","MSX3"
78,"T0000058","short-c",393.046,"WK","WK8","MSX3"
79,"T0000058","short",396.2066,"WK","WK8","MSX3"
80,"T0000058","short",404.099,"WK","WK8","MSX3"
81,"T0000058","step up",404.2593,"WK","WK8","MSX3"
82,"T0000058","short-ur",406.6764,"WK","WK8","MSX3"
83,"T0000058","flat",417.9368,"WK","WK8","MSX3"
84,"T0000058","flat",418.8717,"WK","WK8","MSX3"
85,"T0000058","flat",421.7768,"WK","WK8","MSX3"
86,"T0000058","flat",422.1798,"WK","WK8","MSX3"
87,"T0000058","flat-z",422.3687,"WK","WK8","MSX3"
88,"T0000058","flat",465.5513,"WK","WK8","MSX3"
89,"T0000058","flat",465.773,"WK","WK8","MSX3"
90,"T0000058","short",485.7005,"WK","WK8","MSX3"
91,"T0000058","short",486.1061,"WK","WK8","MSX3"
92,"T0000058","short-ur",496.0588,"WK","WK8","MSX3"
93,"T0000058","unclear",526.7409,"WK","WK8","MSX3"
94,"T0000058","short",566.8562,"WK","WK8","MSX3"
95,"T0000058","flat",585.5201,"WK","WK8","MSX3"
96,"T0000058","complex",585.6342,"WK","WK8","MSX3"
97,"T0000058","flat",585.8472,"WK","WK8","MSX3"
98,"T0000058","flat",586.1703,"WK","WK8","MSX3"
99,"T0000058","flat",586.4238,"WK","WK8","MSX3"
100,"T0000058","flat",588.7877,"WK","WK8","MSX3"
101,"T0000058","short",589.3729,"WK","WK8","MSX3"
102,"T0000058","flat",589.952,"WK","WK8","MSX3"
103,"T0000058","flat",590.3001,"WK","WK8","MSX3"
104,"T0000058","downward ramp",591.5136,"WK","WK8","MSX3"
105,"T0000058","flat",591.9175,"WK","WK8","MSX3"
106,"T0000058","short",592.4357,"WK","WK8","MSX3"
107,"T0000058","flat",593.8411,"WK","WK8","MSX3"
108,"T0000058","short",595.2214,"WK","WK8","MSX3"
