label,duration,start.time,peak.freq(max),peak.freq(mean),peak.freq(minentire),peak.freq(maxentire),file.name
short-c,0.0066,5.0135,49800,49800,47300,50200,T0000152
short-ur,0.0046,5.0862,59000,60000,56100,62500,T0000152
flat - harmx,0.0619,6.3493,46800,46300,44900,47300,T0000152
complex,0.0163,7.4347,61000,57100,56100,61500,T0000152
short,0.0056,15.2801,65400,65400,63900,66400,T0000152
complex,0.0148,18.2574,41000,39500,37500,42900,T0000152
short,0.0087,19.8809,57600,57600,56100,58500,T0000152
short,0.003,20.6259,56100,55600,54100,56600,T0000152
short,0.0035,20.9576,66400,67300,65900,68300,T0000152
short-ur,0.002,21.9729,68800,68800,67800,70800,T0000152
flat-z - harmx,0.1034,22.0446,38000,38500,37500,43400,T0000152
flat-mz - harmx,0.0993,22.2464,45400,38500,37500,45400,T0000152
flat,0.0532,22.4404,37500,37500,36600,38500,T0000152
flat - harmx,0.0368,22.8167,38500,39000,38000,40000,T0000152
flat,0.0168,25.2697,52200,51700,50700,52200,T0000152
short-ur,0.003,27.6812,62900,63400,60000,63900,T0000152
inverted-u - harmx,0.0271,27.7217,49800,51700,47300,52700,T0000152
short-c,0.0035,28.6407,64900,64900,62500,65900,T0000152
short-c,0.0035,29.2935,65400,64900,63900,66800,T0000152
short-ur,0.003,30.1716,60000,59500,57100,60500,T0000152
short-ur,0.003,32.195,59000,59000,59000,62000,T0000152
short-c,0.0056,34.3475,47800,47800,45400,48300,T0000152
short-ur,0.0035,34.6521,62900,62500,60000,63900,T0000152
complex,0.0317,34.6854,50700,50200,48800,52700,T0000152
short-ur,0.004,34.9731,66800,65900,64900,67300,T0000152
short-dr - harmx,0.0092,35.8661,22400,22900,19500,24400,T0000152
short,0.0046,36.0504,50200,49800,49300,50700,T0000152
flat - harmx,0.0245,38.807,48300,48800,43900,49800,T0000152
short,0.0107,39.6948,56100,55600,54600,56600,T0000152
step down - harmx,0.0194,39.7409,47300,46800,43400,77100,T0000152
flat - harmx,0.0455,39.8745,50700,50200,48300,51200,T0000152
short-ur,0.0056,40.2293,80000,82000,79100,83000,T0000152
downward ramp,0.0163,44.7759,59000,58500,51700,59500,T0000152
short,0.0046,45.1031,56600,56100,55600,56600,T0000152
short,0.004,45.6345,81500,81000,81000,81500,T0000152
flat - harmx,0.1914,45.8987,38000,38500,37100,39500,T0000152
flat,0.0148,52.631,52700,52700,49800,53700,T0000152
flat,0.0179,52.7994,51200,52700,50200,53200,T0000152
flat - harmx,0.0148,52.9766,49300,49300,47300,49800,T0000152
flat - harmx,0.0281,53.1246,45800,45800,45400,46800,T0000152
short,0.0035,53.1742,59000,59000,53700,60500,T0000152
short,0.001,53.2986,51200,50700,50700,51200,T0000152
flat,0.0737,54.2689,38500,37500,38000,38500,T0000152
short-ur,0.0025,54.6513,58100,57600,56100,59000,T0000152
flat - harmx,0.022,54.9222,37500,37500,37100,38000,T0000152
flat - harmx,0.0312,55.0696,40500,40000,39500,41500,T0000152
flat - harmx,0.0389,55.2268,38500,39500,38500,40500,T0000152
short-c,0.0071,55.9022,51700,52700,50200,54600,T0000152
step down - harmx,0.0865,56.0962,36600,36600,35600,51200,T0000152
flat - harmx,0.0471,56.6113,37500,37500,36600,38500,T0000152
upward ramp - harmx,0.0256,57.1059,43900,44400,40000,46300,T0000152
flat - harmx,0.046,57.2564,37500,37500,35600,38500,T0000152
upward ramp - harmx,0.0307,57.4336,40000,39500,37500,42900,T0000152
flat,0.0424,58.2384,40000,39000,38000,41500,T0000152
flat - harmx,0.0583,58.4063,42900,42400,38500,43400,T0000152
flat-z - harmx,0.1213,58.5758,44900,44900,37500,45800,T0000152
flat - harmx,0.1187,59.715,35600,35600,33200,36100,T0000152
flat - harmx,0.0875,60.3335,35100,35100,33600,35600,T0000152
flat - harmx,0.0911,60.5327,34600,34600,31700,35100,T0000152
flat - harmx,0.0783,61.0549,36600,36100,35100,37100,T0000152
flat - harmx,0.0573,61.2351,34600,35100,34100,35600,T0000152
flat - harmx,0.0844,61.5726,38000,38000,37100,39500,T0000152
flat - harmx,0.0563,63.5586,35100,34600,34600,35600,T0000152
short,0.0035,65.881,62500,62000,62000,62500,T0000152
short,0.0015,66.3439,67800,67300,67300,67800,T0000152
flat,0.0471,67.65,42900,42900,41900,44400,T0000152
flat - harmx,0.0829,68.0058,39000,39000,38000,40000,T0000152
flat,0.065,68.2142,39000,38000,37500,39000,T0000152
short-ur,0.0061,70.8858,54600,55100,51700,57100,T0000152
short-c,0.0081,71.1874,97100,97600,92200,100000,T0000152
short,0.002,71.8402,60500,60000,59500,60500,T0000152
short,0.002,72.0691,57100,56600,54600,57600,T0000152
short,0.004,72.5099,48800,49300,48800,49800,T0000152
flat,0.087,73.1013,39000,36600,36100,39500,T0000152
flat - harmx,0.0993,73.2953,36600,36600,36100,38500,T0000152
flat - harmx,0.0558,73.5037,37500,37500,36600,38000,T0000152
flat - harmx,0.066,76.6535,38500,39000,38000,40500,T0000152
flat - harmx,0.1034,81.9645,36600,36100,34100,37100,T0000152
flat,0.0163,82.6065,36600,37100,36600,37500,T0000152
flat,0.0261,82.9352,44900,44400,42900,45400,T0000152
short,0.0025,90.7729,71700,71700,70800,73200,T0000152
short,0.003,91.2322,59000,58500,58100,60500,T0000152
short,0.002,93.0805,57100,57100,57100,57100,T0000152
short-ur,0.0061,93.4789,63900,60500,60500,65400,T0000152
flat,0.0675,98.2871,43400,42900,40000,43900,T0000152
short,0.003,110.9294,56600,56600,56600,57600,T0000152
short,0.0056,111.1403,65900,65900,65400,66800,T0000152
flat,0.0337,119.7322,45400,44400,43900,45400,T0000152
flat,0.0604,122.583,47800,47300,44900,48300,T0000152
flat,0.0404,133.3135,44900,44900,43400,45800,T0000152
short-dr,0.0081,136.9297,25800,25800,22400,28800,T0000152
inverted-u,0.0153,139.5496,53700,53200,52700,55600,T0000152
flat - harmx,0.0353,150.124,45800,45400,44400,45800,T0000152
short,0.0087,150.3513,55100,54600,52700,55600,T0000152
short,0.003,150.5653,59000,59000,58500,59500,T0000152
flat,0.0491,154.7934,43900,43400,42400,44900,T0000152
flat-z - harmx,0.1049,154.9793,36600,36600,35600,43400,T0000152
short,0.0051,155.6336,52200,52200,51700,52700,T0000152
short,0.003,156.312,54100,54100,53700,54600,T0000152
short-ur,0.004,156.715,54600,54100,50700,59000,T0000152
short,0.0035,158.8802,55100,54600,54100,58100,T0000152
short,0.0035,159.3139,53700,53200,52200,53700,T0000152
inverted-u,0.0158,160.3952,61500,61000,50200,62500,T0000152
flat - harmx,0.11,160.5672,36600,37100,34600,37500,T0000152
flat - harmx,0.1116,163.9132,40500,41500,36100,42900,T0000152
flat,0.0537,164.653,35100,35600,35100,36100,T0000152
short-ur,0.0066,165.441,56600,57600,53700,62500,T0000152
short-ur,0.0081,167.0056,58500,58100,52700,61500,T0000152
short,0.0035,167.2417,53700,53200,51700,53700,T0000152
upward ramp,0.0128,167.449,52200,52200,47800,52700,T0000152
flat,0.045,170.2743,40500,40500,40500,41500,T0000152
short,0.0066,171.2839,57600,57100,55600,59500,T0000152
short,0.0056,171.7109,59500,60000,58500,62900,T0000152
step up,0.0189,171.9633,63400,62900,61000,92700,T0000152
flat,0.0353,172.7319,45400,45800,45400,46800,T0000152
flat,0.0906,176.622,40500,39000,38000,41000,T0000152
short,0.001,180.4426,53700,53700,52700,53700,T0000152
short,0.0005,185.6081,50200,50200,50200,50200,T0000152
short-c,0.003,185.8606,88300,88300,87400,88800,T0000152
short - harmx,0.002,186.2748,48300,48300,47800,48300,T0000152
short-c,0.0051,187.5107,90800,91700,83000,98100,T0000152
short-c,0.0056,187.884,100000,100000,90800,101000,T0000152
flat,0.0302,193.7223,39500,39500,39000,40500,T0000152
complex,0.0706,199.7772,47300,47800,41500,48800,T0000152
flat-z - harmx,0.0563,200.6251,48800,48300,41900,49800,T0000152
flat,0.0153,205.2674,22900,22900,20900,23900,T0000152
flat - harmx,0.0414,210.071,40500,40000,39500,40500,T0000152
flat - harmx,0.0568,214.0282,38500,38500,37100,39500,T0000152
flat,0.0332,214.7066,39500,39500,38500,40500,T0000152
short,0.0097,215.0522,40000,39500,39000,40000,T0000152
flat - harmx,0.022,215.1925,45400,45400,43900,45800,T0000152
flat - harmx,0.0578,219.949,43900,43400,41900,44400,T0000152
short,0.0087,220.3284,43400,43900,43400,44400,T0000152
flat - harmx,0.089,220.6218,38500,38000,36600,39500,T0000152
flat - harmx,0.0732,220.8092,37500,38000,36600,39500,T0000152
flat - harmx,0.0512,221.0007,45400,45400,43400,46800,T0000152
flat,0.0153,221.2351,46800,47300,46800,47800,T0000152
flat,0.0122,227.3868,47800,49300,47800,49800,T0000152
flat,0.1479,232.2334,43900,43900,42400,45400,T0000152
flat,0.0629,232.491,43900,42900,41900,44400,T0000152
flat - harmx,0.0445,232.8898,45400,45800,43900,46300,T0000152
flat-mz - harmx,0.0977,233.0987,46300,40500,40000,47800,T0000152
flat-z - harmx,0.0481,233.5257,45400,40500,39500,46300,T0000152
flat - harmx,0.0215,233.7198,40000,40000,38500,41000,T0000152
flat - harmx,0.0593,234.4872,40000,39500,38000,40500,T0000152
flat - harmx,0.0266,235.2593,40000,40000,39500,41000,T0000152
short,0.0107,235.4565,44900,44900,43900,45800,T0000152
flat-z - harmx,0.0977,237.2265,45800,40000,38500,46300,T0000152
flat - harmx,0.0194,237.6258,41500,41000,40500,41500,T0000152
flat-z - harmx,0.0307,237.7692,47800,47800,41900,48300,T0000152
flat - harmx,0.0942,238.8966,39000,38000,36600,39500,T0000152
flat - harmx,0.0568,239.9242,36600,37100,36100,37500,T0000152
flat - harmx,0.0384,240.8816,38500,38500,38000,39000,T0000152
flat,0.0547,245.8199,52200,52200,49800,52700,T0000152
flat - harmx,0.0537,246.2504,40000,39500,39000,40000,T0000152
flat-mz - harmx,0.0962,247.5873,38500,38000,37100,42400,T0000152
flat-z - harmx,0.0547,247.7998,42900,42900,38000,43900,T0000152
flat,0.023,248.237,40000,40000,39500,40500,T0000152
flat - harmx,0.0291,248.4992,38500,39000,38000,39500,T0000152
flat - harmx,0.2176,252.6382,46800,45800,42900,49800,T0000152
flat-mz - harmx,0.2109,253.4379,39500,41000,37500,42900,T0000152
flat,0.0629,254.3703,44400,44900,43400,45800,T0000152
flat-z - harmx,0.066,254.7532,43900,39000,38500,44400,T0000152
flat - harmx,0.066,255.2273,48800,49300,46300,51200,T0000152
short,0.0051,256.493,47800,47300,47300,47800,T0000152
complex - harmx,0.066,256.8744,50700,50200,41500,51700,T0000152
flat - harmx,0.0302,257.0383,50200,50200,46800,50700,T0000152
complex - harmx,0.0512,257.1837,51200,51200,41000,51700,T0000152
flat - harmx,0.0343,257.3337,42900,41000,38000,43400,T0000152
inverted-u - harmx,0.0368,257.4807,47300,47300,41000,48300,T0000152
flat,0.0194,259.9633,60500,61500,60500,62500,T0000152
flat,0.0179,260.1011,64900,64900,63400,66400,T0000152
flat,0.0204,261.1916,47800,48800,46800,49800,T0000152
flat - harmx,0.0424,264.0419,48300,48800,45400,50200,T0000152
flat,0.0368,265.0485,51700,53700,49800,54600,T0000152
flat,0.0286,265.8969,56600,56600,53200,57600,T0000152
inverted-u - harmx,0.0261,266.0694,55600,55600,49300,56100,T0000152
flat,0.0296,271.5939,49800,48300,47300,49800,T0000152
flat - harmx,0.0455,272.5386,49300,49800,46300,50700,T0000152
flat,0.0138,273.7955,44900,44400,43900,44900,T0000152
flat,0.0614,275.307,47300,47300,46300,48800,T0000152
flat,0.044,276.4533,47300,47800,46800,49800,T0000152
multi-step,0.0517,277.0355,52700,52200,49800,83000,T0000152
flat,0.024,277.1118,51700,52700,50200,53700,T0000152
flat,0.0204,277.4005,50200,50200,49300,51200,T0000152
short-ur,0.0097,286.7179,52700,52200,48300,52700,T0000152
short,0.0046,286.9324,63900,63900,62900,64900,T0000152
flat,0.0865,299.1375,41500,41000,40000,41900,T0000152
flat - harmx,0.1187,299.264,43400,40500,39500,45400,T0000152
flat - harmx,0.0353,299.46,41500,41500,39000,42400,T0000152
flat,0.2565,300.248,35100,35100,34100,36600,T0000152
short,0.0087,300.5265,55600,55100,53700,55600,T0000152
flat,0.1413,300.6161,35600,35100,34100,36100,T0000152
flat,0.045,301.4082,37100,37100,36100,38000,T0000152
short,0.002,301.4753,58100,57600,56600,59000,T0000152
step down,0.0363,301.7282,37100,37500,36600,61000,T0000152
short,0.0035,302.0242,66800,66800,65400,67300,T0000152
short,0.0087,302.5633,57100,56100,54600,57100,T0000152
short-c,0.0081,302.8269,53700,54600,52700,55100,T0000152
flat,0.0701,303.9682,38000,38000,37500,39500,T0000152
flat,0.1111,304.5309,38000,37100,36100,39000,T0000152
flat,0.0885,304.7403,38000,37100,36100,38500,T0000152
flat - harmx,0.0727,304.9164,39000,38500,35600,39500,T0000152
flat - harmx,0.066,307.886,39500,39000,38500,40000,T0000152
flat,0.0506,311.4849,39000,39000,38500,40000,T0000152
flat - harmx,0.0942,313.2579,48300,48800,45400,50200,T0000152
flat - harmx,0.1459,314.8451,42400,42400,41000,43900,T0000152
flat - harmx,0.1039,315.415,44900,42900,41500,45400,T0000152
flat,0.0194,315.7621,46800,46300,42900,47800,T0000152
flat - harmx,0.0865,315.8829,45400,44900,41900,46300,T0000152
flat - harmx,0.0199,318.1219,42400,42900,41900,43400,T0000152
step down,0.0399,321.4678,44400,43900,42400,80500,T0000152
flat-z,0.0568,321.7029,38000,37500,37500,44400,T0000152
step down - harmx,0.0445,322.1698,77100,77100,45800,78100,T0000152
step down - harmx,0.0455,322.2574,43400,43400,38500,64900,T0000152
flat,0.0281,322.9849,70300,70300,67300,71200,T0000152
step down,0.0394,323.1564,68300,67300,42900,68800,T0000152
upward ramp,0.0168,324.4671,47800,48300,46800,50700,T0000152
upward ramp - harmx,0.0332,324.5982,47300,52200,46300,53200,T0000152
complex,0.0291,324.7462,47300,47800,45400,49300,T0000152
short-c,0.0102,324.8798,69300,70300,68300,71200,T0000152
step down,0.0368,325.0007,68300,68300,44400,69300,T0000152
short,0.0092,326.0917,45400,45400,44900,45800,T0000152
short - harmx,0.0107,326.9273,50700,50200,48300,51700,T0000152
flat,0.0481,327.4342,49300,48800,45800,49800,T0000152
flat,0.0583,327.9784,46300,46800,45400,47300,T0000152
flat - harmx,0.0757,328.1423,46300,45800,43900,46800,T0000152
complex - harmx,0.0599,328.3107,46800,48800,44400,50200,T0000152
flat - harmx,0.0972,328.4643,46800,46800,42900,48300,T0000152
complex,0.0619,328.8299,45400,45800,44900,47800,T0000152
step down,0.0281,329.3312,50700,50700,49800,74700,T0000152
inverted-u,0.0307,329.3823,55100,55100,46800,56100,T0000152
step down,0.1024,329.4632,48800,52700,40000,70300,T0000152
inverted-u - harmx,0.0394,329.6348,51700,51700,45400,52700,T0000152
inverted-u - harmx,0.0204,329.7919,51700,51700,47300,52200,T0000152
step down,0.0168,329.9235,75100,74700,47300,75600,T0000152
flat,0.0363,334.9145,48300,48800,45400,50200,T0000152
flat,0.0353,335.3845,51700,51700,48800,53700,T0000152
short-ur,0.0061,336.4889,50700,50200,46800,52700,T0000152
short,0.003,337.4371,71700,71700,71200,72200,T0000152
flat - harmx,0.0496,338.074,49300,49300,47300,49800,T0000152
flat-mz - harmx,0.0911,338.99,43400,43400,37500,44900,T0000152
multi-step,0.0332,339.1231,46800,45800,44400,67800,T0000152
flat - harmx,0.0225,340.3468,45800,45800,43400,46800,T0000152
flat,0.0773,340.4968,45400,43900,42400,45800,T0000152
flat - harmx,0.0558,340.8332,51700,51700,47800,52700,T0000152
flat,0.0163,340.9925,46800,47300,44900,48300,T0000152
flat,0.022,341.6033,45400,45400,43900,47300,T0000152
flat,0.0296,341.7415,46300,46800,44900,48300,T0000152
flat,0.0716,342.6795,41900,41500,40500,43900,T0000152
short,0.0061,345.9266,54600,55100,52200,55600,T0000152
flat,0.0501,347.1595,38500,38000,38000,39000,T0000152
short,0.0056,348.1553,54100,54100,53700,54600,T0000152
step up,0.0348,350.5331,44900,44900,43900,62900,T0000152
flat - harmx,0.1064,350.936,44900,45800,40000,46800,T0000152
step up,0.0209,352.2171,46800,47300,46300,66400,T0000152
flat - harmx,0.0593,353.9706,46800,46300,43900,47300,T0000152
flat-mz,0.0414,354.8164,39500,39000,38500,43400,T0000152
flat - harmx,0.1085,355.0469,37500,37100,37100,38500,T0000152
flat,0.0824,355.9935,37100,37100,35600,37500,T0000152
flat,0.0424,356.3519,36100,36600,36100,37100,T0000152
flat,0.089,356.6673,38000,37500,35600,38000,T0000152
flat,0.0348,356.8588,37500,38000,37100,39000,T0000152
flat,0.0512,356.996,38000,37500,36600,38500,T0000152
flat - harmx,0.0281,357.1732,40500,40000,39500,40500,T0000152
step up,0.0522,358.1286,66800,65900,40000,66800,T0000152
flat,0.0184,358.358,64900,66800,63900,67800,T0000152
flat,0.1029,359.4987,46800,47300,41000,50200,T0000152
flat-z - harmx,0.1223,359.705,45400,47300,38500,48800,T0000152
flat,0.0158,360.5294,50200,49800,48800,50700,T0000152
short,0.002,360.6743,46800,46800,46300,46800,T0000152
flat-z - harmx,0.0665,360.791,47300,49300,39500,50700,T0000152
flat - harmx,0.0199,361.1647,47800,47800,45400,48300,T0000152
flat - harmx,0.022,361.3107,48800,48300,45800,49300,T0000152
flat - harmx,0.0568,362.0971,51700,51200,48800,52700,T0000152
flat,0.0184,362.2768,50700,51700,49800,52700,T0000152
flat,0.0378,362.4191,51700,51200,49300,52700,T0000152
flat,0.0435,364.6914,43400,42400,40500,43400,T0000152
short,0.0087,364.8895,47300,47300,46800,48300,T0000152
short,0.0071,365.5249,53200,53200,52200,53700,T0000152
short,0.0061,365.7461,58500,59000,56100,60000,T0000152
short-ur,0.004,366.1977,66400,61000,59500,67300,T0000152
short,0.0056,368.9579,33600,33200,32700,33600,T0000152
flat,0.0184,370.3935,38500,38500,38500,41000,T0000152
flat,0.0296,371.522,39000,38500,38000,39500,T0000152
flat,0.0128,371.6392,47800,48300,47800,48800,T0000152
flat - harmx,0.0855,371.6858,38500,38000,37100,39000,T0000152
short,0.0107,371.8497,51700,51700,51700,52700,T0000152
flat - harmx,0.0517,372.0171,53700,53700,50700,54100,T0000152
flat - harmx,0.0942,372.3745,46300,45400,43900,49300,T0000152
flat - harmx,0.0343,372.5844,39000,39500,38500,40000,T0000152
flat-z,0.0788,373.2848,37500,37500,36600,41900,T0000152
unclear,0.0158,381.7774,84400,51200,43900,84400,T0000152
short,0.0005,382.5684,62900,62900,62500,62900,T0000152
short,0.002,384.2764,59000,59500,59000,60000,T0000152
flat-z,0.0353,385.8754,44400,44400,40000,44900,T0000152
inverted-u - harmx,0.0476,386.2041,45400,45400,39500,46300,T0000152
flat,0.1879,391.1224,36600,37500,35600,38000,T0000152
flat-z,0.0599,393.0158,43900,38500,37500,44400,T0000152
flat,0.0696,393.5882,47800,45400,45400,48800,T0000152
flat-z,0.0911,394.7222,36600,36600,35600,39500,T0000152
flat,0.0455,399.2857,36600,36100,35600,36600,T0000152
flat-z,0.0834,401.4991,45400,37100,37100,45800,T0000152
flat,0.0179,401.7131,38500,39000,38500,39500,T0000152
flat,0.0727,404.759,37100,37100,36600,38000,T0000152
flat,0.0189,405.4819,38500,38500,38500,39000,T0000152
flat,0.0337,405.9473,62900,63900,62000,64400,T0000152
flat - harmx,0.0773,406.6447,38000,37500,36600,38500,T0000152
flat-z - harmx,0.0317,406.8572,43900,43900,39000,44400,T0000152
flat,0.0153,407.0205,63400,64400,61500,64900,T0000152
flat,0.0199,407.5386,44900,44400,43400,44900,T0000152
flat - harmx,0.0414,408.3036,44900,44900,42900,45800,T0000152
flat - harmx,0.0737,409.0792,45800,44900,43900,46300,T0000152
flat - harmx,0.1111,409.9993,45800,43900,41900,46800,T0000152
step down,0.0512,410.2277,47300,47300,44400,61000,T0000152
step down,0.0476,410.3854,43400,42900,41000,59000,T0000152
flat,0.0189,410.7771,44900,44400,44400,45400,T0000152
flat - harmx,0.0844,411.6874,45400,44900,43400,47300,T0000152
flat-mz - harmx,0.1152,412.27,45400,44900,38500,46300,T0000152
flat - harmx,0.0327,412.4871,45400,45400,39500,46300,T0000152
step up,0.0363,414.8618,63900,39000,39500,63900,T0000152
flat - harmx,0.0691,415.0271,45800,45800,43900,46800,T0000152
flat - harmx,0.0471,415.1321,45800,45800,43900,47300,T0000152
flat,0.0419,415.4495,47300,47300,46800,47300,T0000152
flat-z - harmx,0.025,415.7209,39500,39500,38000,44900,T0000152
flat,0.0819,416.3077,38000,36100,35600,38000,T0000152
short,0.0107,417.7705,67300,67800,67300,68800,T0000152
flat,0.0235,418.3162,49300,48800,46800,51200,T0000152
flat-z - harmx,0.0348,418.3669,42400,39500,14600,43400,T0000152
short,0.0056,418.4831,81000,81500,80500,81500,T0000152
flat,0.0604,418.6362,53700,53700,50200,54100,T0000152
flat,0.0168,420.1989,43900,43900,43400,44400,T0000152
flat-z,0.0368,420.6417,43400,43400,38000,44400,T0000152
flat,0.022,420.7964,43400,43400,42900,43900,T0000152
short,0.0051,421.2049,46800,46800,46300,46800,T0000152
flat - harmx,0.0337,425.9368,39000,38500,37500,39000,T0000152
step down - harmx,0.0706,426.6859,43900,43400,38000,62000,T0000152
flat - harmx,0.0476,427.4462,44900,44400,42900,45400,T0000152
flat-z - harmx,0.0532,427.8272,44400,43900,39500,44900,T0000152
flat - harmx,0.0593,427.9935,38500,38500,37100,39500,T0000152
flat,0.0481,428.2024,38500,38500,37500,39500,T0000152
flat - harmx,0.0696,428.3816,38500,38500,38000,39500,T0000152
flat-mz - harmx,0.0675,428.5742,39000,39000,38500,42900,T0000152
flat-mz - harmx,0.1331,428.7334,44900,39000,36600,45400,T0000152
flat-mz - harmx,0.1546,428.9541,38500,39000,37100,87400,T0000152
flat - harmx,0.0952,429.1988,38000,37500,36100,38500,T0000152
flat-mz - harmx,0.0634,429.5633,45400,44900,38000,45400,T0000152
short - harmx,0.0061,429.7492,45400,44900,44400,45800,T0000152
flat - harmx,0.0327,429.8972,45400,44900,42900,45800,T0000152
flat-z - harmx,0.0716,430.2771,42900,43400,39000,44400,T0000152
flat - harmx,0.0547,430.4681,38000,38000,37500,39000,T0000152
inverted-u - harmx,0.0189,433.8467,47300,47800,44900,48800,T0000152
flat,0.0972,434.2359,36600,36600,35600,37500,T0000152
flat - harmx,0.1111,434.4683,38000,37100,36100,39000,T0000152
flat,0.0363,434.7222,37500,37500,37100,38000,T0000152
flat,0.0384,442.9168,37100,37100,37100,38000,T0000152
flat,0.0977,443.1933,36100,36100,35600,38000,T0000152
flat-z,0.0599,443.5834,43900,43900,38000,44900,T0000152
flat,0.0266,443.7985,43900,43900,42900,44900,T0000152
flat-z - harmx,0.0808,446.1091,43900,38500,38000,44900,T0000152
flat-z - harmx,0.0885,446.2853,44400,43900,38500,44900,T0000152
flat-mz - harmx,0.064,446.4665,39000,39000,38500,44900,T0000152
flat - harmx,0.0578,446.6309,40500,43400,38000,44400,T0000152
flat - harmx,0.0583,446.7983,44400,44400,39500,45400,T0000152
step down - harmx,0.0896,446.9616,44900,45400,42900,65900,T0000152
flat,0.0133,448.982,66400,65900,65400,66800,T0000152
flat,0.0814,450.5712,37500,36600,35100,38000,T0000152
flat - harmx,0.0158,450.7852,38500,38500,38000,39000,T0000152
flat - harmx,0.0179,450.9521,38500,38500,38000,39000,T0000152
flat,0.0491,451.2,46300,46300,45400,46300,T0000152
flat,0.1013,451.9869,44900,43900,43400,44900,T0000152
flat-mz - harmx,0.0803,452.1902,44400,44900,39000,45800,T0000152
flat-z,0.0942,452.4185,43400,38500,37500,44400,T0000152
flat,0.0435,454.7681,66800,66400,64400,67300,T0000152
flat,0.0215,456.7828,65400,64900,63400,65900,T0000152
flat - harmx,0.0501,460.8819,44900,45400,44400,45800,T0000152
flat - harmx,0.0911,461.0821,44400,44400,41000,45400,T0000152
flat - harmx,0.0583,461.7554,45400,43900,42900,45400,T0000152
flat,0.023,464.5324,45800,46300,45400,46800,T0000152
flat-z,0.1003,464.6743,38500,38500,37500,44400,T0000152
flat,0.0337,464.8826,44900,44400,43900,45800,T0000152
flat,0.0522,465.2984,47300,47300,43900,48300,T0000152
short,0.0061,466.009,52700,52700,52700,53700,T0000152
flat,0.0261,466.1447,39000,40000,38500,41000,T0000152
flat - harmx,0.1305,466.3229,45800,36100,34600,46800,T0000152
short,0.0051,466.5538,59000,58500,56600,60000,T0000152
short,0.0046,466.8241,58500,58100,55600,58500,T0000152
short,0.0035,467.9557,44900,44900,44900,45400,T0000152
flat,0.0558,468.4293,45800,45800,44900,46800,T0000152
flat - harmx,0.1397,474.201,35100,35600,34600,38500,T0000152
flat,0.1218,475.5676,36600,37500,34600,38000,T0000152
flat - harmx,0.1105,475.7918,36100,36100,34600,36600,T0000152
flat,0.0634,476.4349,36100,37100,36100,38500,T0000152
flat,0.0179,480.1075,47300,47300,46300,47800,T0000152
short,0.002,480.5621,25800,62900,25800,62500,T0000152
flat,0.0158,480.9548,51200,51200,50200,51700,T0000152
flat,0.0307,481.4422,53200,51700,49800,53200,T0000152
flat,0.0522,488.5232,46800,46800,45800,50700,T0000152
short,0.0066,489.71,67800,67800,66800,68300,T0000152
flat - harmx,0.0711,494.4419,37100,35600,36100,39000,T0000152
short,0.0046,495.6446,47300,47300,47300,47800,T0000152
flat,0.1264,496.0343,37100,37100,35600,37500,T0000152
flat,0.0389,496.2897,36600,36600,35600,36600,T0000152
flat,0.0844,497.3598,46800,47300,45800,49300,T0000152
flat,0.0578,497.5795,47800,47800,47800,48800,T0000152
flat,0.0204,497.9158,47800,47800,47300,48300,T0000152
flat - harmx,0.1807,498.8118,43400,42900,38000,43900,T0000152
flat - harmx,0.1776,499.1119,39000,38500,37100,42400,T0000152
flat-z - harmx,0.1198,499.4027,42900,37500,36600,43900,T0000152
flat,0.0547,505.0327,44900,45400,43900,48300,T0000152
flat,0.0174,505.9435,46800,46800,45400,47800,T0000152
flat,0.0496,506.0899,43900,44400,43400,45400,T0000152
flat,0.0235,506.2558,42400,42400,41900,43400,T0000152
flat,0.0399,506.5364,49300,50700,49300,52200,T0000152
flat,0.0399,506.6772,54600,53700,51200,55100,T0000152
flat,0.0266,506.8267,54600,54100,53200,55600,T0000152
flat-z,0.0588,506.9609,51200,51200,47300,51700,T0000152
short,0.0081,507.2686,50200,50200,49800,50700,T0000152
flat,0.025,507.9459,50200,49800,49300,51200,T0000152
flat,0.0399,508.1205,49800,51200,49300,52200,T0000152
flat,0.0634,508.4124,50700,50200,48800,51200,T0000152
inverted-u - harmx,0.0337,509.9683,48800,49800,46300,51200,T0000152
flat,0.0389,511.7383,45800,46300,45800,46800,T0000152
flat,0.0281,512.4561,49800,49300,48300,50200,T0000152
flat - harmx,0.0983,512.9497,46800,46800,44400,48800,T0000152
step down,0.0537,513.1704,48300,47800,20000,48800,T0000152
flat,0.0332,513.602,45400,45800,44900,47300,T0000152
flat - harmx,0.0148,514.5897,50200,50200,49300,51200,T0000152
flat-z,0.0573,515.2691,48800,48800,40000,49300,T0000152
flat,0.0168,515.8579,49800,49300,48300,50200,T0000152
flat - harmx,0.0916,516.0017,47800,44400,43400,47800,T0000152
flat - harmx,0.0522,516.2152,45400,45400,44400,46800,T0000152
flat - harmx,0.0307,516.4119,47300,47300,46300,50700,T0000152
flat,0.0409,517.1369,37500,37100,36600,38000,T0000152
flat,0.1039,517.4179,37500,37500,36600,38500,T0000152
short,0.0071,520.5539,66800,67300,66800,67800,T0000152
short,0.0097,521.3332,46800,46800,46800,48800,T0000152
flat,0.0158,522.3152,66800,67300,64400,68300,T0000152
flat-z,0.0281,522.8836,44900,44900,40500,45400,T0000152
flat-mz,0.1131,524.6213,45800,49300,40500,49800,T0000152
downward ramp,0.024,525.6007,49800,49800,45400,50200,T0000152
