"unique.id","file.name","label","start.time","strain","rat.id","recording"
201,"T0000085","flat-z",74.0254,"SD","SD22","MBT"
202,"T0000085","flat",74.3403,"SD","SD22","MBT"
203,"T0000085","flat",74.6398,"SD","SD22","MBT"
204,"T0000085","flat",74.969,"SD","SD22","MBT"
205,"T0000085","flat",75.1784,"SD","SD22","MBT"
206,"T0000085","flat",75.3715,"SD","SD22","MBT"
207,"T0000085","flat",75.5809,"SD","SD22","MBT"
208,"T0000085","flat",75.7708,"SD","SD22","MBT"
209,"T0000085","flat",75.9818,"SD","SD22","MBT"
210,"T0000085","flat-z over flat",76.2434,"SD","SD22","MBT"
211,"T0000085","flat-z",76.5168,"SD","SD22","MBT"
212,"T0000085","flat-z",76.7293,"SD","SD22","MBT"
213,"T0000085","flat over flat",76.9694,"SD","SD22","MBT"
214,"T0000085","flat",77.2162,"SD","SD22","MBT"
215,"T0000085","flat-z",77.3826,"SD","SD22","MBT"
216,"T0000085","flat-mz",77.6483,"SD","SD22","MBT"
217,"T0000085","flat over flat",77.8511,"SD","SD22","MBT"
218,"T0000085","unclear",78.1762,"SD","SD22","MBT"
219,"T0000085","flat",78.3472,"SD","SD22","MBT"
220,"T0000085","flat",78.6467,"SD","SD22","MBT"
221,"T0000085","flat",79.1234,"SD","SD22","MBT"
222,"T0000085","flat over flat",79.9308,"SD","SD22","MBT"
223,"T0000085","flat over flat",80.1274,"SD","SD22","MBT"
224,"T0000085","flat over flat",80.5667,"SD","SD22","MBT"
225,"T0000085","flat under flat",80.7546,"SD","SD22","MBT"
226,"T0000085","flat",80.9523,"SD","SD22","MBT"
227,"T0000085","flat over flat",81.1335,"SD","SD22","MBT"
228,"T0000085","flat",81.3583,"SD","SD22","MBT"
229,"T0000085","flat",81.732,"SD","SD22","MBT"
230,"T0000085","flat",81.944,"SD","SD22","MBT"
232,"T0000085","flat over flat",82.6562,"SD","SD22","MBT"
233,"T0000085","flat",82.8861,"SD","SD22","MBT"
234,"T0000085","flat",83.0453,"SD","SD22","MBT"
235,"T0000085","flat-z",83.1226,"SD","SD22","MBT"
236,"T0000085","flat-z",83.31,"SD","SD22","MBT"
237,"T0000085","flat-z",83.5271,"SD","SD22","MBT"
238,"T0000085","flat",83.7862,"SD","SD22","MBT"
239,"T0000085","flat under complex",83.9546,"SD","SD22","MBT"
240,"T0000085","flat",84.3304,"SD","SD22","MBT"
242,"T0000085","flat",85.4773,"SD","SD22","MBT"
243,"T0000085","flat",85.6939,"SD","SD22","MBT"
244,"T0000085","flat",85.8951,"SD","SD22","MBT"
245,"T0000085","flat",86.0728,"SD","SD22","MBT"
246,"T0000085","flat",86.2755,"SD","SD22","MBT"
247,"T0000085","flat",86.53,"SD","SD22","MBT"
248,"T0000085","flat",86.6519,"SD","SD22","MBT"
249,"T0000085","flat over flat",86.7507,"SD","SD22","MBT"
250,"T0000085","inverted-u flat complex",86.9488,"SD","SD22","MBT"
251,"T0000085","flat-z",87.2053,"SD","SD22","MBT"
252,"T0000085","flat-z over flat",87.4449,"SD","SD22","MBT"
253,"T0000085","flat-z",87.6677,"SD","SD22","MBT"
254,"T0000085","flat",88.003,"SD","SD22","MBT"
255,"T0000085","flat",88.217,"SD","SD22","MBT"
256,"T0000085","flat",88.5457,"SD","SD22","MBT"
257,"T0000085","flat",88.7895,"SD","SD22","MBT"
258,"T0000085","flat",89.0552,"SD","SD22","MBT"
259,"T0000085","flat",89.1914,"SD","SD22","MBT"
260,"T0000085","flat",89.2385,"SD","SD22","MBT"
261,"T0000085","flat under flat",89.2943,"SD","SD22","MBT"
262,"T0000085","flat under flat",89.6373,"SD","SD22","MBT"
263,"T0000085","flat",89.8631,"SD","SD22","MBT"
264,"T0000085","flat",90.1739,"SD","SD22","MBT"
265,"T0000085","flat",90.4371,"SD","SD22","MBT"
266,"T0000085","flat",90.6961,"SD","SD22","MBT"
267,"T0000085","flat",91.2281,"SD","SD22","MBT"
268,"T0000085","flat under flat",91.9234,"SD","SD22","MBT"
269,"T0000085","flat under flat",92.1057,"SD","SD22","MBT"
270,"T0000085","flat",92.2956,"SD","SD22","MBT"
271,"T0000085","flat",92.5598,"SD","SD22","MBT"
272,"T0000085","flat",92.824,"SD","SD22","MBT"
273,"T0000085","flat",93.1691,"SD","SD22","MBT"
274,"T0000085","flat",93.3934,"SD","SD22","MBT"
275,"T0000085","flat",93.5633,"SD","SD22","MBT"
276,"T0000085","flat",94.2315,"SD","SD22","MBT"
277,"T0000085","flat",94.3892,"SD","SD22","MBT"
278,"T0000085","flat",94.893,"SD","SD22","MBT"
279,"T0000085","flat",95.7803,"SD","SD22","MBT"
280,"T0000085","flat",97.0229,"SD","SD22","MBT"
281,"T0000085","flat",97.4028,"SD","SD22","MBT"
282,"T0000085","flat-z ov flat und short",97.4868,"SD","SD22","MBT"
283,"T0000085","flat under flat",97.7034,"SD","SD22","MBT"
284,"T0000085","flat",98.0321,"SD","SD22","MBT"
285,"T0000085","flat",98.435,"SD","SD22","MBT"
286,"T0000085","flat",98.732,"SD","SD22","MBT"
287,"T0000085","flat",99.0238,"SD","SD22","MBT"
288,"T0000085","flat",99.266,"SD","SD22","MBT"
289,"T0000085","flat",100.2019,"SD","SD22","MBT"
290,"T0000085","flat-z",100.2449,"SD","SD22","MBT"
291,"T0000085","short-su",100.6894,"SD","SD22","MBT"
292,"T0000085","flat",101.0396,"SD","SD22","MBT"
293,"T0000085","inverted-u",101.8127,"SD","SD22","MBT"
294,"T0000085","flat",102.0927,"SD","SD22","MBT"
295,"T0000085","flat",102.4501,"SD","SD22","MBT"
296,"T0000085","flat",102.6503,"SD","SD22","MBT"
297,"T0000085","flat",102.7307,"SD","SD22","MBT"
298,"T0000085","flat",103.0241,"SD","SD22","MBT"
299,"T0000085","flat",103.1823,"SD","SD22","MBT"
300,"T0000085","flat",103.4347,"SD","SD22","MBT"
301,"T0000085","flat",103.938,"SD","SD22","MBT"
302,"T0000085","flat-z",105.0296,"SD","SD22","MBT"
303,"T0000085","flat",105.3148,"SD","SD22","MBT"
304,"T0000085","flat-z",105.6767,"SD","SD22","MBT"
305,"T0000085","flat-z under flat-z",105.9307,"SD","SD22","MBT"
306,"T0000085","flat-z under complex",106.2236,"SD","SD22","MBT"
307,"T0000085","flat",106.6475,"SD","SD22","MBT"
308,"T0000085","flat-z",106.7929,"SD","SD22","MBT"
309,"T0000085","flat over flat",106.9204,"SD","SD22","MBT"
310,"T0000085","flat",107.1687,"SD","SD22","MBT"
311,"T0000085","flat",107.3843,"SD","SD22","MBT"
312,"T0000085","flat under flat",107.5584,"SD","SD22","MBT"
314,"T0000085","flat under short",108.0857,"SD","SD22","MBT"
315,"T0000085","flat",108.3745,"SD","SD22","MBT"
316,"T0000085","flat",108.6438,"SD","SD22","MBT"
317,"T0000085","flat",108.8286,"SD","SD22","MBT"
318,"T0000085","flat",109.0938,"SD","SD22","MBT"
319,"T0000085","flat",109.3416,"SD","SD22","MBT"
320,"T0000085","flat",109.569,"SD","SD22","MBT"
321,"T0000085","flat",109.8112,"SD","SD22","MBT"
322,"T0000085","flat",110.0728,"SD","SD22","MBT"
323,"T0000085","flat",110.3339,"SD","SD22","MBT"
324,"T0000085","short short-c",110.4414,"SD","SD22","MBT"
325,"T0000085","flat",110.5315,"SD","SD22","MBT"
326,"T0000085","flat",110.8198,"SD","SD22","MBT"
327,"T0000085","flat",111.1075,"SD","SD22","MBT"
328,"T0000085","flat",111.3405,"SD","SD22","MBT"
329,"T0000085","flat",111.5653,"SD","SD22","MBT"
330,"T0000085","flat",111.7875,"SD","SD22","MBT"
331,"T0000085","flat",112.0496,"SD","SD22","MBT"
332,"T0000085","flat",112.2826,"SD","SD22","MBT"
333,"T0000085","flat",112.4771,"SD","SD22","MBT"
334,"T0000085","flat",112.685,"SD","SD22","MBT"
335,"T0000085","flat",112.876,"SD","SD22","MBT"
336,"T0000085","flat",113.1397,"SD","SD22","MBT"
337,"T0000085","flat",113.3235,"SD","SD22","MBT"
338,"T0000085","flat",113.7121,"SD","SD22","MBT"
339,"T0000085","flat",113.9015,"SD","SD22","MBT"
340,"T0000085","flat",114.1125,"SD","SD22","MBT"
341,"T0000085","flat",114.3874,"SD","SD22","MBT"
342,"T0000085","flat",114.6173,"SD","SD22","MBT"
343,"T0000085","flat",114.838,"SD","SD22","MBT"
344,"T0000085","flat",115.1057,"SD","SD22","MBT"
345,"T0000085","flat",115.3157,"SD","SD22","MBT"
346,"T0000085","flat",115.5194,"SD","SD22","MBT"
347,"T0000085","flat",115.7201,"SD","SD22","MBT"
348,"T0000085","flat under flat",115.9526,"SD","SD22","MBT"
349,"T0000085","flat under flat",116.1763,"SD","SD22","MBT"
350,"T0000085","flat",116.3018,"SD","SD22","MBT"
351,"T0000085","flat-z under flat-z",116.3924,"SD","SD22","MBT"
352,"T0000085","step up over flat",116.6136,"SD","SD22","MBT"
353,"T0000085","short",116.78,"SD","SD22","MBT"
354,"T0000085","flat-mz over flat",116.8133,"SD","SD22","MBT"
355,"T0000085","flat",117.0032,"SD","SD22","MBT"
356,"T0000085","flat-z",117.185,"SD","SD22","MBT"
357,"T0000085","flat-z",117.3667,"SD","SD22","MBT"
358,"T0000085","flat",117.5869,"SD","SD22","MBT"
359,"T0000085","flat-mz",117.7635,"SD","SD22","MBT"
360,"T0000085","flat",117.891,"SD","SD22","MBT"
361,"T0000085","flat",118.123,"SD","SD22","MBT"
362,"T0000085","flat",118.1941,"SD","SD22","MBT"
363,"T0000085","flat",118.5218,"SD","SD22","MBT"
364,"T0000085","flat",118.6739,"SD","SD22","MBT"
365,"T0000085","flat-z",118.7604,"SD","SD22","MBT"
366,"T0000085","flat",118.8131,"SD","SD22","MBT"
367,"T0000085","short",119.0876,"SD","SD22","MBT"
368,"T0000085","complex",120.5688,"SD","SD22","MBT"
369,"T0000085","flat",121.8954,"SD","SD22","MBT"
370,"T0000085","flat",122.1954,"SD","SD22","MBT"
