"strain","label","recording","file.name","rat.id","mean.dur","sem","count"
"WK","complex","MBT","T0000190","WK34G1",0.10952,0.0173920726043127,20
"WK","complex","MBT","T0000228","WK77",0.0642090909090909,0.00641788806306893,33
"WK","complex","MBT","T0000303","WK95",0.0867375,0.026674398758119,8
"WK","flat","MBT","T0000091","WK21",0.0507520325203252,0.00252889134239984,246
"WK","flat","MBT","T0000096","WK2A3C1",0.0308838235294118,0.00242407229097636,68
"WK","flat","MBT","T0000124","WK26",0.0529193717277487,0.0031892911122959,191
"WK","flat","MBT","T0000185","WK29E2",0.0561270491803279,0.00395357715278904,122
"WK","flat","MBT","T0000190","WK34G1",0.0480611570247934,0.00442886014287566,121
"WK","flat","MBT","T0000228","WK77",0.05241,0.0041740423204526,100
"WK","flat","MBT","T0000303","WK95",0.0378197183098592,0.00383015548313947,71
"WK","flat-mz","MBT","T0000091","WK21",0.105466666666667,0.0146872152884505,12
"WK","flat-mz","MBT","T0000096","WK2A3C1",0.0865,NA,1
"WK","flat-mz","MBT","T0000124","WK26",0.1026,0.024167436769339,4
"WK","flat-mz","MBT","T0000185","WK29E2",0.0634333333333333,0.00532426312063724,3
"WK","flat-mz","MBT","T0000190","WK34G1",0.0923133333333333,0.0159675947637608,15
"WK","flat-mz","MBT","T0000228","WK77",0.0840222222222222,0.0185046749181703,9
"WK","flat-mz","MBT","T0000303","WK95",0.025,NA,1
"WK","flat-z","MBT","T0000091","WK21",0.0730285714285714,0.00903509069935539,21
"WK","flat-z","MBT","T0000096","WK2A3C1",0.0638261904761905,0.00496745045167273,42
"WK","flat-z","MBT","T0000124","WK26",0.087669696969697,0.00986208638266265,33
"WK","flat-z","MBT","T0000185","WK29E2",0.0717294117647059,0.00687228997556354,34
"WK","flat-z","MBT","T0000190","WK34G1",0.0864466666666667,0.0189232733166298,15
"WK","flat-z","MBT","T0000228","WK77",0.06885,0.0136195792725194,14
"WK","flat-z","MBT","T0000303","WK95",0.04665,0.0112385868032121,6
"WK","inverted-u","MBT","T0000091","WK21",0.0341,0.00449488598298111,6
"WK","inverted-u","MBT","T0000096","WK2A3C1",0.02965,0.00055,2
"WK","inverted-u","MBT","T0000124","WK26",0.0186764705882353,0.00167789542134863,17
"WK","inverted-u","MBT","T0000185","WK29E2",0.030675,0.00909792787763602,4
"WK","inverted-u","MBT","T0000190","WK34G1",0.0215142857142857,0.00154510418379328,14
"WK","inverted-u","MBT","T0000228","WK77",0.0316260869565217,0.00301048377260381,23
"WK","inverted-u","MBT","T0000303","WK95",0.018525,0.00201731345393535,8
"WK","short","MBT","T0000091","WK21",0.00633684210526316,0.000227213984325979,133
"WK","short","MBT","T0000096","WK2A3C1",0.00619333333333333,0.00029259530415236,75
"WK","short","MBT","T0000124","WK26",0.00588756218905473,0.000174150311460837,201
"WK","short","MBT","T0000185","WK29E2",0.00699464285714286,0.000303640461975052,56
"WK","short","MBT","T0000190","WK34G1",0.006484,0.000279084991413785,75
"WK","short","MBT","T0000228","WK77",0.00667590361445783,0.000291255605415082,83
"WK","short","MBT","T0000303","WK95",0.00529395604395604,0.000164424746579118,182
"WK","step up","MBT","T0000091","WK21",0.0492714285714286,0.00656557311987801,14
"WK","step up","MBT","T0000096","WK2A3C1",0.01865,0.00435,2
"WK","step up","MBT","T0000124","WK26",0.0667533333333333,0.00807014407534496,15
"WK","step up","MBT","T0000185","WK29E2",0.0337,NA,1
"WK","step up","MBT","T0000190","WK34G1",0.0308,0.00469881781822714,9
"WK","step up","MBT","T0000228","WK77",0.0548181818181818,0.0116102761550574,11
"WK","step up","MBT","T0000303","WK95",0.0262625,0.00355143016966405,16
"WK","trill","MBT","T0000091","WK21",0.0374428571428571,0.00196505828962722,49
"WK","trill","MBT","T0000096","WK2A3C1",0.0394236363636364,0.00204911570586008,55
"WK","trill","MBT","T0000124","WK26",0.0456275,0.00385837083245885,40
"WK","trill","MBT","T0000185","WK29E2",0.03634,0.00178125550846606,60
"WK","trill","MBT","T0000190","WK34G1",0.0395723880597015,0.00137461164235985,134
"WK","trill","MBT","T0000228","WK77",0.0398916666666667,0.00435210604422756,12
"WK","trill","MBT","T0000303","WK95",0.0441816326530612,0.00256471954393174,49
"WK","trill-c","MBT","T0000091","WK21",0.0591571428571429,0.00840504262312801,21
"WK","trill-c","MBT","T0000096","WK2A3C1",0.0460875,0.00262912516003762,8
"WK","trill-c","MBT","T0000124","WK26",0.04424,0.00337000494559479,10
"WK","trill-c","MBT","T0000185","WK29E2",0.050895,0.00807142612781918,20
"WK","trill-c","MBT","T0000190","WK34G1",0.058672,0.00421490814451118,25
"WK","trill-c","MBT","T0000228","WK77",0.0500333333333333,0.00625289427934672,12
"WK","trill-c","MBT","T0000303","WK95",0.0512571428571429,0.0037052683040884,35
