"file.name","behavior","label","strain","rat.id","recording","usv.count","total","percent"
"T0000254","LKP","step up","SD","SD78","MBT",0,0,NA
"T0000303","LKP","step up","WK","WK95","MBT",0,13,0
"T0000085","Retrieval","trill","SD","SD22","MBT",0,1874,0
"T0000091","Retrieval","trill","WK","WK21","MBT",59,284,0.207746478873239
"T0000096","Retrieval","trill","WK","WK2A3C1","MBT",54,156,0.346153846153846
"T0000105","Retrieval","trill","SD","SD17","MBT",5,614,0.00814332247557003
"T0000124","Retrieval","trill","WK","WK26","MBT",20,117,0.170940170940171
"T0000141","Retrieval","trill","SD","SD24","MBT",0,414,0
"T0000152","Retrieval","trill","SD","SD25E4","MBT",0,1035,0
"T0000155","Retrieval","trill","SD","SD17E3","MBT",0,946,0
"T0000185","Retrieval","trill","WK","WK29E2","MBT",67,269,0.24907063197026
"T0000190","Retrieval","trill","WK","WK34G1","MBT",141,373,0.378016085790885
"T0000195","Retrieval","trill","SD","SD31E5","MBT",0,217,0
"T0000228","Retrieval","trill","WK","WK77","MBT",1,237,0.00421940928270042
"T0000242","Retrieval","trill","SD","SD76","MBT",0,420,0
"T0000254","Retrieval","trill","SD","SD78","MBT",69,360,0.191666666666667
"T0000303","Retrieval","trill","WK","WK95","MBT",42,147,0.285714285714286
"T0000085","Hover","trill","SD","SD22","MBT",1,1319,0.000758150113722517
"T0000091","Hover","trill","WK","WK21","MBT",1,118,0.00847457627118644
"T0000096","Hover","trill","WK","WK2A3C1","MBT",0,18,0
"T0000105","Hover","trill","SD","SD17","MBT",0,317,0
"T0000124","Hover","trill","WK","WK26","MBT",4,357,0.0112044817927171
"T0000141","Hover","trill","SD","SD24","MBT",0,140,0
"T0000152","Hover","trill","SD","SD25E4","MBT",0,381,0
"T0000155","Hover","trill","SD","SD17E3","MBT",0,624,0
"T0000185","Hover","trill","WK","WK29E2","MBT",0,40,0
"T0000190","Hover","trill","WK","WK34G1","MBT",1,84,0.0119047619047619
"T0000195","Hover","trill","SD","SD31E5","MBT",0,158,0
"T0000228","Hover","trill","WK","WK77","MBT",0,64,0
"T0000242","Hover","trill","SD","SD76","MBT",0,284,0
"T0000254","Hover","trill","SD","SD78","MBT",0,169,0
"T0000303","Hover","trill","WK","WK95","MBT",2,62,0.032258064516129
"T0000085","LKP","trill","SD","SD22","MBT",0,80,0
"T0000091","LKP","trill","WK","WK21","MBT",3,102,0.0294117647058824
"T0000096","LKP","trill","WK","WK2A3C1","MBT",0,16,0
"T0000105","LKP","trill","SD","SD17","MBT",0,230,0
"T0000124","LKP","trill","WK","WK26","MBT",0,29,0
"T0000141","LKP","trill","SD","SD24","MBT",0,5,0
"T0000152","LKP","trill","SD","SD25E4","MBT",0,57,0
"T0000155","LKP","trill","SD","SD17E3","MBT",0,6,0
"T0000185","LKP","trill","WK","WK29E2","MBT",0,0,NA
"T0000190","LKP","trill","WK","WK34G1","MBT",0,1,0
"T0000195","LKP","trill","SD","SD31E5","MBT",0,12,0
"T0000228","LKP","trill","WK","WK77","MBT",0,10,0
"T0000242","LKP","trill","SD","SD76","MBT",0,0,NA
"T0000254","LKP","trill","SD","SD78","MBT",0,0,NA
"T0000303","LKP","trill","WK","WK95","MBT",0,13,0
"T0000085","Retrieval","trill-c","SD","SD22","MBT",0,1874,0
"T0000091","Retrieval","trill-c","WK","WK21","MBT",19,284,0.0669014084507042
"T0000096","Retrieval","trill-c","WK","WK2A3C1","MBT",6,156,0.0384615384615385
"T0000105","Retrieval","trill-c","SD","SD17","MBT",1,614,0.00162866449511401
"T0000124","Retrieval","trill-c","WK","WK26","MBT",5,117,0.0427350427350427
"T0000141","Retrieval","trill-c","SD","SD24","MBT",0,414,0
"T0000152","Retrieval","trill-c","SD","SD25E4","MBT",0,1035,0
"T0000155","Retrieval","trill-c","SD","SD17E3","MBT",0,946,0
"T0000185","Retrieval","trill-c","WK","WK29E2","MBT",17,269,0.0631970260223048
"T0000190","Retrieval","trill-c","WK","WK34G1","MBT",17,373,0.0455764075067024
"T0000195","Retrieval","trill-c","SD","SD31E5","MBT",0,217,0
"T0000228","Retrieval","trill-c","WK","WK77","MBT",0,237,0
"T0000242","Retrieval","trill-c","SD","SD76","MBT",1,420,0.00238095238095238
"T0000254","Retrieval","trill-c","SD","SD78","MBT",21,360,0.0583333333333333
"T0000303","Retrieval","trill-c","WK","WK95","MBT",26,147,0.17687074829932
"T0000085","Hover","trill-c","SD","SD22","MBT",0,1319,0
"T0000091","Hover","trill-c","WK","WK21","MBT",2,118,0.0169491525423729
"T0000096","Hover","trill-c","WK","WK2A3C1","MBT",0,18,0
"T0000105","Hover","trill-c","SD","SD17","MBT",0,317,0
"T0000124","Hover","trill-c","WK","WK26","MBT",1,357,0.00280112044817927
"T0000141","Hover","trill-c","SD","SD24","MBT",0,140,0
"T0000152","Hover","trill-c","SD","SD25E4","MBT",0,381,0
"T0000155","Hover","trill-c","SD","SD17E3","MBT",0,624,0
"T0000185","Hover","trill-c","WK","WK29E2","MBT",0,40,0
"T0000190","Hover","trill-c","WK","WK34G1","MBT",4,84,0.0476190476190476
"T0000195","Hover","trill-c","SD","SD31E5","MBT",0,158,0
"T0000228","Hover","trill-c","WK","WK77","MBT",0,64,0
