"strain","label","recording","file.name","rat.id","mean.dur","SEM","count","rat.id.fix"
"WK","flat","Mpupiso","T0000186","WK29E2",0.0558,NA,1,"WK29E2 M"
"WK","flat","Mpupiso","T0000192","WK34G1",0.0408194805194805,0.00241155372820284,77,"WK34G1 M"
"WK","flat","Mpupiso","T0000229","WK77",0.0402376811594203,0.00202950329831986,69,"WK77 M"
"WK","flat-mz","Fpupiso","T0000092","WK21",0.0902333333333333,0.00866589740175695,3,"WK21 F"
"WK","flat-mz","Fpupiso","T0000097","WK2A3C1",0.05540625,0.00765230068209337,16,"WK2A3C1 F"
"WK","flat-mz","Fpupiso","T0000126","WK26",0.0743666666666667,0.00377771241773525,3,"WK26 F"
"WK","flat-mz","Fpupiso","T0000191","WK34G1",0.1126,NA,1,"WK34G1 F"
"WK","flat-mz","Mpupiso","T0000093","WK21",0.081,0.0232672158483419,3,"WK21 M"
"WK","flat-mz","Mpupiso","T0000098","WK2A3C1",0.112046341463415,0.00500803756117686,41,"WK2A3C1 M"
"WK","flat-mz","Mpupiso","T0000192","WK34G1",0.0718,0.00835603574270319,3,"WK34G1 M"
"WK","flat-z","Fpupiso","T0000092","WK21",0.08406875,0.00805993030754609,16,"WK21 F"
"WK","flat-z","Fpupiso","T0000097","WK2A3C1",0.0421705882352941,0.0052724921882761,17,"WK2A3C1 F"
"WK","flat-z","Fpupiso","T0000126","WK26",0.0323363636363636,0.00359606534290093,11,"WK26 F"
"WK","flat-z","Fpupiso","T0000230","WK77",0.0286,NA,1,"WK77 F"
"WK","flat-z","Mpupiso","T0000093","WK21",0.0712,0.0149942131694674,8,"WK21 M"
"WK","flat-z","Mpupiso","T0000098","WK2A3C1",0.092319014084507,0.00267201016669746,142,"WK2A3C1 M"
"WK","flat-z","Mpupiso","T0000125","WK26",0.0235,5e-04,2,"WK26 M"
"WK","flat-z","Mpupiso","T0000192","WK34G1",0.0494294117647059,0.00236364568712319,17,"WK34G1 M"
"WK","short","Fpupiso","T0000092","WK21",0.00735,0.00435,2,"WK21 F"
"WK","short","Fpupiso","T0000097","WK2A3C1",0.00656470588235294,0.000323555639374895,85,"WK2A3C1 F"
"WK","short","Fpupiso","T0000126","WK26",0.00618770491803279,0.000228045119303071,122,"WK26 F"
"WK","short","Fpupiso","T0000187","WK29E2",0.004,NA,1,"WK29E2 F"
"WK","short","Fpupiso","T0000191","WK34G1",0.0051375,0.000484798348187983,24,"WK34G1 F"
"WK","short","Fpupiso","T0000230","WK77",0.0113666666666667,0.000333333333333334,3,"WK77 F"
"WK","short","Mpupiso","T0000093","WK21",0.00596896551724138,0.000490955222750213,29,"WK21 M"
"WK","short","Mpupiso","T0000098","WK2A3C1",0.00686842105263158,0.000715658312716461,19,"WK2A3C1 M"
"WK","short","Mpupiso","T0000125","WK26",0.00657894736842105,0.000713183249802828,19,"WK26 M"
"WK","short","Mpupiso","T0000192","WK34G1",0.00555,0.00155,2,"WK34G1 M"
"WK","short","Mpupiso","T0000304","WK95",0.00457368421052632,0.000352670854057915,19,"WK95 M"
