"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","new.per"
"complex",3,"T0000415",457,0.00656455142231947,"WK","WK105","VEH",0.00684931506849315
"step up",4,"T0000415",457,0.0087527352297593,"WK","WK105","VEH",0.0091324200913242
"trill",181,"T0000415",457,0.396061269146608,"WK","WK105","VEH",0.41324200913242
"trill-c",67,"T0000415",457,0.146608315098468,"WK","WK105","VEH",0.15296803652968
"unclear",6,"T0000415",457,0.0131291028446389,"WK","WK105","VEH",0.0136986301369863
"flat",323,"T0000416",878,0.367881548974943,"WK","WK100","VEH",0.390568319226119
"flat-z",30,"T0000416",878,0.0341685649202733,"WK","WK100","VEH",0.0362756952841596
"flat-mz",6,"T0000416",878,0.00683371298405467,"WK","WK100","VEH",0.00725513905683192
"short",220,"T0000416",878,0.250569476082005,"WK","WK100","VEH",0.26602176541717
"short-ur",15,"T0000416",878,0.0170842824601367,"WK","WK100","VEH",0.0181378476420798
"short-c",33,"T0000416",878,0.0375854214123007,"WK","WK100","VEH",0.0399032648125756
"complex",31,"T0000416",878,0.0353075170842825,"WK","WK100","VEH",0.0374848851269649
"step up",8,"T0000416",878,0.00911161731207289,"WK","WK100","VEH",0.00967351874244256
"trill",107,"T0000416",878,0.121867881548975,"WK","WK100","VEH",0.129383313180169
"trill-c",51,"T0000416",878,0.0580865603644647,"WK","WK100","VEH",0.0616686819830713
"unclear",3,"T0000416",878,0.00341685649202733,"WK","WK100","VEH",0.00362756952841596
