"categories.allowed","total.counts","file.name","total.filecounts","rel.filecount","strain","rat.id","recording","rat.id.fix","usv.per"
"flat-z",5,"T0000255",363,0.0137741046831956,"SD","SD78","Fpupiso","SD78 F",0.0173611111111111
"flat-mz",3,"T0000255",363,0.00826446280991736,"SD","SD78","Fpupiso","SD78 F",0.0104166666666667
"short",101,"T0000255",363,0.278236914600551,"SD","SD78","Fpupiso","SD78 F",0.350694444444444
"short-c",16,"T0000255",363,0.0440771349862259,"SD","SD78","Fpupiso","SD78 F",0.0555555555555556
"flat",570,"T0000256",766,0.744125326370757,"SD","SD78","Mpupiso","SD78 M",0.764075067024129
"flat-z",68,"T0000256",766,0.0887728459530026,"SD","SD78","Mpupiso","SD78 M",0.0911528150134048
"flat-mz",79,"T0000256",766,0.10313315926893,"SD","SD78","Mpupiso","SD78 M",0.105898123324397
"short",29,"T0000256",766,0.0378590078328982,"SD","SD78","Mpupiso","SD78 M",0.0388739946380697
"short-c",0,"T0000256",766,0,"SD","SD78","Mpupiso","SD78 M",0
"flat",0,"T0000304",19,0,"WK","WK95","Mpupiso","WK95 M",0
"flat-z",0,"T0000304",19,0,"WK","WK95","Mpupiso","WK95 M",0
"flat-mz",0,"T0000304",19,0,"WK","WK95","Mpupiso","WK95 M",0
"short",6,"T0000304",19,0.315789473684211,"WK","WK95","Mpupiso","WK95 M",0.461538461538462
"short-c",7,"T0000304",19,0.368421052631579,"WK","WK95","Mpupiso","WK95 M",0.538461538461538
"flat",0,"T0000305",0,0,"WK","WK95","Fpupiso","WK95 F",NA
"flat-z",0,"T0000305",0,0,"WK","WK95","Fpupiso","WK95 F",NA
"flat-mz",0,"T0000305",0,0,"WK","WK95","Fpupiso","WK95 F",NA
"short",0,"T0000305",0,0,"WK","WK95","Fpupiso","WK95 F",NA
"short-c",0,"T0000305",0,0,"WK","WK95","Fpupiso","WK95 F",NA
