"strain","label","file.name","recording","rat.id","mean.dur","sem","count"
"WK","flat-z","T0000203","MA","WK34G1",0.04425,0.02845,2
"WK","flat-z","T0000233","MA","WK77",0.0988,NA,1
"WK","flat-z","T0000308","MA","WK95",0.0563,NA,1
"WK","short","T0000102","MA","WK21",0.00681,0.000543182628975792,20
"WK","short","T0000109","MA","WK2A3C1",0.00560810810810811,0.000240849354077944,111
"WK","short","T0000138","MA","WK26",0.00516022727272727,0.000212658077983112,88
"WK","short","T0000199","MA","WK29E2",0.00770769230769231,0.000785400562383619,13
"WK","short","T0000203","MA","WK34G1",0.00556,0.00038225777742691,35
"WK","short","T0000233","MA","WK77",0.00398109243697479,9.84729806336442e-05,238
"WK","short","T0000308","MA","WK95",0.00474367816091954,0.000146782203102867,174
"SD","flat","T0000087","Fpupiso","SD22",0.0952684210526316,0.00245398768226696,285
"SD","flat","T0000107","Fpupiso","SD17",0.0715523178807947,0.00349361016644501,151
"SD","flat","T0000142","Fpupiso","SD24",0.035275,0.00466339915369322,4
"SD","flat","T0000149","Fpupiso","SD25E4",0.0730625,0.00681327369608709,56
"SD","flat","T0000157","Fpupiso","SD17E3",0.0412071428571429,0.00576564726488237,14
"SD","flat","T0000197","Fpupiso","SD31E5",0.0967713646532438,0.0021724942601115,447
"SD","flat","T0000244","Fpupiso","SD76",0.0352375,0.003278920998845,16
"SD","flat","T0000255","Fpupiso","SD78",0.0441691358024691,0.00263440926439715,162
"SD","flat","T0000088","Mpupiso","SD22",0.0968838095238095,0.00346496016495227,105
"SD","flat","T0000106","Mpupiso","SD17",0.0939095238095238,0.0102277165555682,21
"SD","flat","T0000143","Mpupiso","SD24",0.1062,0.0571,2
"SD","flat","T0000151","Mpupiso","SD25E4",0.07152,0.00869170990384698,20
"SD","flat","T0000156","Mpupiso","SD17E3",0.112215625,0.00527043856328835,96
"SD","flat","T0000196","Mpupiso","SD31E5",0.0758066666666667,0.00772595555721301,30
"SD","flat","T0000243","Mpupiso","SD76",0.04525,0.01305,2
"SD","flat","T0000256","Mpupiso","SD78",0.0789636203866432,0.00149640506794558,569
"SD","flat-mz","T0000087","Fpupiso","SD22",0.112104210526316,0.0030688325620733,95
"SD","flat-mz","T0000149","Fpupiso","SD25E4",0.157,0.00970292788408785,21
"SD","flat-mz","T0000157","Fpupiso","SD17E3",0.0947,0.0476,2
"SD","flat-mz","T0000197","Fpupiso","SD31E5",0.107651162790698,0.00594332160270954,43
"SD","flat-mz","T0000255","Fpupiso","SD78",0.0738333333333333,0.0241082512384822,3
"SD","flat-mz","T0000088","Mpupiso","SD22",0.1145,0.0196495849950117,7
"SD","flat-mz","T0000151","Mpupiso","SD25E4",0.0892,0.0101158291800524,3
"SD","flat-mz","T0000156","Mpupiso","SD17E3",0.108945,0.0114221103105936,20
"SD","flat-mz","T0000196","Mpupiso","SD31E5",0.1756,NA,1
"SD","flat-mz","T0000256","Mpupiso","SD78",0.107094936708861,0.00238949739930239,79
"SD","flat-z","T0000087","Fpupiso","SD22",0.0898132530120482,0.0031386932240223,83
"SD","flat-z","T0000107","Fpupiso","SD17",0.08454,0.0158618914382869,5
"SD","flat-z","T0000149","Fpupiso","SD25E4",0.0974545454545455,0.0088755410536198,33
"SD","flat-z","T0000157","Fpupiso","SD17E3",0.1152,NA,1
"SD","flat-z","T0000197","Fpupiso","SD31E5",0.0890594594594595,0.00639709189214666,37
"SD","flat-z","T0000255","Fpupiso","SD78",0.05036,0.015907815689151,5
"SD","flat-z","T0000088","Mpupiso","SD22",0.0927172413793103,0.00556122897465212,29
"SD","flat-z","T0000151","Mpupiso","SD25E4",0.0876666666666667,0.0105909814884594,9
"SD","flat-z","T0000156","Mpupiso","SD17E3",0.118934285714286,0.00719905332578631,35
"SD","flat-z","T0000196","Mpupiso","SD31E5",0.0658285714285714,0.0177809517433111,7
"SD","flat-z","T0000256","Mpupiso","SD78",0.0922102941176471,0.00307626869100999,68
"SD","short","T0000087","Fpupiso","SD22",0.00626470588235294,0.00069329462672544,17
"SD","short","T0000107","Fpupiso","SD17",0.00806470588235294,0.000654056413765314,17
"SD","short","T0000142","Fpupiso","SD24",0.0068,0.00172433562085034,3
"SD","short","T0000149","Fpupiso","SD25E4",0.00667058823529412,0.000593702534070672,17
"SD","short","T0000157","Fpupiso","SD17E3",0.00578461538461538,0.000477284809054966,13
"SD","short","T0000197","Fpupiso","SD31E5",0.00808,0.000508537635102644,20
"SD","short","T0000244","Fpupiso","SD76",0.0054,0.000670820393249937,14
"SD","short","T0000255","Fpupiso","SD78",0.00636206896551724,0.000226619294426396,116
"SD","short","T0000106","Mpupiso","SD17",0.0048,0.00122678441463853,4
"SD","short","T0000143","Mpupiso","SD24",0.0102,NA,1
"SD","short","T0000151","Mpupiso","SD25E4",0.00530666666666667,0.000709424090148156,15
"SD","short","T0000156","Mpupiso","SD17E3",0.00813333333333333,0.00118368539363765,3
"SD","short","T0000196","Mpupiso","SD31E5",0.0061,NA,1
"SD","short","T0000243","Mpupiso","SD76",0.00464285714285714,0.000373677740869869,35
"SD","short","T0000256","Mpupiso","SD78",0.00683548387096774,0.000449744213733793,31
"WK","flat","T0000092","Fpupiso","WK21",0.067325,0.00945931457592868,24
"WK","flat","T0000097","Fpupiso","WK2A3C1",0.057067578125,0.00236095576962292,256
"WK","flat","T0000126","Fpupiso","WK26",0.0433980392156863,0.00294657205859787,102
"WK","flat","T0000187","Fpupiso","WK29E2",0.0245,NA,1
"WK","flat","T0000191","Fpupiso","WK34G1",0.0627909090909091,0.0145054814375648,11
"WK","flat","T0000230","Fpupiso","WK77",0.03269,0.00586983721144708,10
"WK","flat","T0000093","Mpupiso","WK21",0.0449605263157895,0.00445851996485474,38
"WK","flat","T0000098","Mpupiso","WK2A3C1",0.0847996254681648,0.00331460626778012,267
"WK","flat","T0000125","Mpupiso","WK26",0.0653135135135135,0.00347911152639318,111
"WK","flat","T0000186","Mpupiso","WK29E2",0.0558,NA,1
"WK","flat","T0000192","Mpupiso","WK34G1",0.0408194805194805,0.00241155372820284,77
"WK","flat","T0000229","Mpupiso","WK77",0.0402376811594203,0.00202950329831986,69
"WK","flat-mz","T0000092","Fpupiso","WK21",0.0902333333333333,0.00866589740175695,3
"WK","flat-mz","T0000097","Fpupiso","WK2A3C1",0.05540625,0.00765230068209337,16
"WK","flat-mz","T0000126","Fpupiso","WK26",0.0743666666666667,0.00377771241773525,3
"WK","flat-mz","T0000191","Fpupiso","WK34G1",0.1126,NA,1
"WK","flat-mz","T0000093","Mpupiso","WK21",0.081,0.0232672158483419,3
"WK","flat-mz","T0000098","Mpupiso","WK2A3C1",0.112046341463415,0.00500803756117686,41
"WK","flat-mz","T0000192","Mpupiso","WK34G1",0.0718,0.00835603574270319,3
"WK","flat-z","T0000092","Fpupiso","WK21",0.08406875,0.00805993030754609,16
"WK","flat-z","T0000097","Fpupiso","WK2A3C1",0.0421705882352941,0.0052724921882761,17
"WK","flat-z","T0000126","Fpupiso","WK26",0.0323363636363636,0.00359606534290093,11
"WK","flat-z","T0000230","Fpupiso","WK77",0.0286,NA,1
"WK","flat-z","T0000093","Mpupiso","WK21",0.0712,0.0149942131694674,8
"WK","flat-z","T0000098","Mpupiso","WK2A3C1",0.092319014084507,0.00267201016669746,142
"WK","flat-z","T0000125","Mpupiso","WK26",0.0235,5e-04,2
"WK","flat-z","T0000192","Mpupiso","WK34G1",0.0494294117647059,0.00236364568712319,17
"WK","short","T0000092","Fpupiso","WK21",0.00735,0.00435,2
"WK","short","T0000097","Fpupiso","WK2A3C1",0.00656470588235294,0.000323555639374895,85
"WK","short","T0000126","Fpupiso","WK26",0.00618770491803279,0.000228045119303071,122
"WK","short","T0000187","Fpupiso","WK29E2",0.004,NA,1
"WK","short","T0000191","Fpupiso","WK34G1",0.0051375,0.000484798348187983,24
"WK","short","T0000230","Fpupiso","WK77",0.0113666666666667,0.000333333333333334,3
"WK","short","T0000093","Mpupiso","WK21",0.00596896551724138,0.000490955222750213,29
"WK","short","T0000098","Mpupiso","WK2A3C1",0.00686842105263158,0.000715658312716461,19
"WK","short","T0000125","Mpupiso","WK26",0.00657894736842105,0.000713183249802828,19
"WK","short","T0000192","Mpupiso","WK34G1",0.00555,0.00155,2
"WK","short","T0000304","Mpupiso","WK95",0.00457368421052632,0.000352670854057915,19
