"strain","label","recording","file.name","rat.id","mean.freq","sem","count"
"WK","flat","MBT","T0000096","WK2A3C1",52679.3451373584,825.67247056021,36
"WK","flat","MBT","T0000124","WK26",54490.1307094494,1061.34296041846,105
"WK","flat","MBT","T0000185","WK29E2",52861.2154192625,784.867343361492,100
"WK","flat","MBT","T0000190","WK34G1",50650.3495019943,854.953108298098,92
"WK","flat","MBT","T0000228","WK77",51881.2852066304,1021.87831475479,53
"WK","flat","MBT","T0000303","WK95",46641.4170233902,1317.86776923497,51
"WK","flat-mz","MBT","T0000091","WK21",48394.9987736895,413.899660548137,12
"WK","flat-mz","MBT","T0000096","WK2A3C1",53113.1793680762,NA,1
"WK","flat-mz","MBT","T0000124","WK26",47187.0939855436,1220.64218347845,4
"WK","flat-mz","MBT","T0000185","WK29E2",52931.0777887831,1993.92560967113,3
"WK","flat-mz","MBT","T0000190","WK34G1",47462.4260036761,390.466067837023,12
"WK","flat-mz","MBT","T0000228","WK77",47785.0871235116,784.805881962795,7
"WK","flat-mz","MBT","T0000303","WK95",51142.9670542868,NA,1
"WK","flat-z","MBT","T0000091","WK21",54177.1049174197,2574.50979862441,21
"WK","flat-z","MBT","T0000096","WK2A3C1",53126.130112981,325.650027019203,38
"WK","flat-z","MBT","T0000124","WK26",50532.8351731481,1603.22192077052,16
"WK","flat-z","MBT","T0000185","WK29E2",52639.0892932685,811.596965821738,31
"WK","flat-z","MBT","T0000190","WK34G1",49364.9338961885,1109.01993154122,13
"WK","flat-z","MBT","T0000228","WK77",51252.2602062946,1118.15449944604,9
"WK","flat-z","MBT","T0000303","WK95",49827.9097988124,1417.62326321281,5
"WK","inverted-u","MBT","T0000091","WK21",54826.4229794208,2103.47557648986,6
"WK","inverted-u","MBT","T0000096","WK2A3C1",61131.036773983,NA,1
"WK","inverted-u","MBT","T0000124","WK26",65373.6908814736,6898.20689697413,5
"WK","inverted-u","MBT","T0000185","WK29E2",69884.1030391598,7730.58801247248,3
"WK","inverted-u","MBT","T0000190","WK34G1",63114.7806304573,3537.62994429636,11
"WK","inverted-u","MBT","T0000228","WK77",55838.6104170363,2140.21247023291,15
"WK","inverted-u","MBT","T0000303","WK95",65117.1381681798,6492.77737970028,5
"WK","short","MBT","T0000091","WK21",63828.3089466667,1186.52461977924,93
"WK","short","MBT","T0000096","WK2A3C1",54383.2816022015,2045.17511761431,40
"WK","short","MBT","T0000124","WK26",65391.9991639616,1369.59343118849,88
"WK","short","MBT","T0000185","WK29E2",57631.1961477973,1271.1686189617,46
"WK","short","MBT","T0000190","WK34G1",60770.9441732206,2175.66611265076,32
"WK","short","MBT","T0000228","WK77",59233.2694108138,1735.51620030642,32
"WK","short","MBT","T0000303","WK95",56144.1083257409,1809.52909552716,73
"WK","step up","MBT","T0000091","WK21",54216.9995698583,2225.16708110854,10
"WK","step up","MBT","T0000096","WK2A3C1",54707.925261478,NA,1
"WK","step up","MBT","T0000124","WK26",56666.7046670434,2066.00771324028,7
"WK","step up","MBT","T0000190","WK34G1",55803.0742622338,2606.67994445029,5
"WK","step up","MBT","T0000228","WK77",57066.9190747864,2379.42665148661,4
"WK","step up","MBT","T0000303","WK95",55432.1506703839,2033.65561612502,9
"WK","trill","MBT","T0000091","WK21",61032.3345932779,NA,1
"WK","trill","MBT","T0000096","WK2A3C1",65564.7101184703,1423.72462768759,6
"WK","trill","MBT","T0000124","WK26",58908.0098604594,2114.70016368558,7
"WK","trill","MBT","T0000185","WK29E2",64019.4755418251,1856.69070171937,8
"WK","trill","MBT","T0000190","WK34G1",63177.1329339612,795.193143344072,39
"WK","trill","MBT","T0000303","WK95",58909.1385197458,1960.27899782084,5
"WK","trill-c","MBT","T0000091","WK21",58730.768812549,1502.00052532784,11
"WK","trill-c","MBT","T0000096","WK2A3C1",62583.8722220107,1848.92057475449,7
"WK","trill-c","MBT","T0000124","WK26",59318.7388739896,723.836962561693,4
"WK","trill-c","MBT","T0000185","WK29E2",61039.1666189752,1151.48837823578,14
"WK","trill-c","MBT","T0000190","WK34G1",59934.0058907817,1693.5832971028,9
"WK","trill-c","MBT","T0000228","WK77",56757.1183352707,2375.75008028837,4
"WK","trill-c","MBT","T0000303","WK95",55215.6289437759,1127.28202335297,11
