"strain","label","recording","file.name","rat.id","mean.freq","sem","count"
"SD","short","Fpupiso","T0000255","SD78",63870.1220148081,637.673645501894,116
"SD","short","Mpupiso","T0000106","SD17",62628.1494261553,8296.26515820081,4
"SD","short","Mpupiso","T0000143","SD24",41467.1935083982,NA,1
"SD","short","Mpupiso","T0000151","SD25E4",59933.3635456605,2279.39298472311,14
"SD","short","Mpupiso","T0000156","SD17E3",41929.8688495796,7636.08312842105,3
"SD","short","Mpupiso","T0000243","SD76",66413.8627994045,1797.62835580105,30
"SD","short","Mpupiso","T0000256","SD78",45113.3791391199,1594.14906776303,31
"WK","flat","Fpupiso","T0000092","WK21",46588.606400793,676.466045773586,19
"WK","flat","Fpupiso","T0000097","WK2A3C1",47806.6979864963,178.25014779151,228
"WK","flat","Fpupiso","T0000126","WK26",48540.1829652689,1078.12454390024,58
"WK","flat","Fpupiso","T0000187","WK29E2",77160.9095400746,NA,1
"WK","flat","Fpupiso","T0000191","WK34G1",40009.5083806509,255.635388535547,11
"WK","flat","Fpupiso","T0000230","WK77",47135.7392429227,3379.49294348709,10
"WK","flat","Mpupiso","T0000093","WK21",59309.3429494229,2489.72591750506,30
"WK","flat","Mpupiso","T0000098","WK2A3C1",49176.2487791358,277.114008409059,214
"WK","flat","Mpupiso","T0000125","WK26",41103.4411175867,190.530964759627,107
"WK","flat","Mpupiso","T0000192","WK34G1",44622.7668533986,394.057852948704,75
"WK","flat","Mpupiso","T0000229","WK77",47170.3006200293,587.087311223256,67
"WK","flat-mz","Fpupiso","T0000092","WK21",47217.0278018054,848.020620053789,3
"WK","flat-mz","Fpupiso","T0000097","WK2A3C1",50679.5143370748,571.846552309744,16
"WK","flat-mz","Fpupiso","T0000126","WK26",46185.7508959745,984.815228050465,2
"WK","flat-mz","Fpupiso","T0000191","WK34G1",51128.6118960473,NA,1
"WK","flat-mz","Mpupiso","T0000093","WK21",49017.3344700644,1250.44633462824,3
"WK","flat-mz","Mpupiso","T0000098","WK2A3C1",50126.5741102864,243.37891434535,40
"WK","flat-mz","Mpupiso","T0000192","WK34G1",46524.2579251006,795.813756644341,3
"WK","flat-z","Fpupiso","T0000092","WK21",48557.1838017397,488.188088107356,14
"WK","flat-z","Fpupiso","T0000097","WK2A3C1",52633.7869474499,759.282658922951,15
"WK","flat-z","Fpupiso","T0000126","WK26",53776.7147999716,3452.40427948473,10
"WK","flat-z","Fpupiso","T0000230","WK77",42148.0752794427,NA,1
"WK","flat-z","Mpupiso","T0000093","WK21",55205.0536513955,4167.62412934513,8
"WK","flat-z","Mpupiso","T0000098","WK2A3C1",51502.4114667213,197.322212518363,140
"WK","flat-z","Mpupiso","T0000125","WK26",45294.4492138857,1080.4629696509,2
"WK","flat-z","Mpupiso","T0000192","WK34G1",47047.7012144118,437.282119136395,16
"WK","short","Fpupiso","T0000092","WK21",55912.5961918162,NA,1
"WK","short","Fpupiso","T0000097","WK2A3C1",56421.4698889131,1081.94621072272,58
"WK","short","Fpupiso","T0000126","WK26",58983.2541283452,883.743746071534,109
"WK","short","Fpupiso","T0000191","WK34G1",60090.2158062702,6019.45983835429,8
"WK","short","Fpupiso","T0000230","WK77",45728.824618377,3985.92904913946,3
"WK","short","Mpupiso","T0000093","WK21",75725.8825812724,3845.50443192137,14
"WK","short","Mpupiso","T0000098","WK2A3C1",51353.7692824221,2029.97609853458,7
"WK","short","Mpupiso","T0000125","WK26",50999.1045687344,3143.53744769583,15
"WK","short","Mpupiso","T0000192","WK34G1",56120.9957500988,6249.00424990125,2
"WK","short","Mpupiso","T0000304","WK95",73848.0443104672,4248.55887841124,5
