"label","time.group","file.name","strain","rat.id","recording","time.count","tot.count.in.time","percent"
"flat-z","3","T0000260","SD","SD78","MA",0,56,0
"short","3","T0000260","SD","SD78","MA",3,56,0.0535714285714286
"short-ur","3","T0000260","SD","SD78","MA",3,56,0.0535714285714286
"step down","3","T0000260","SD","SD78","MA",1,56,0.0178571428571429
"step up","3","T0000260","SD","SD78","MA",0,56,0
"complex","3","T0000260","SD","SD78","MA",0,56,0
"short-c","3","T0000260","SD","SD78","MA",2,56,0.0357142857142857
"short-dr","3","T0000260","SD","SD78","MA",1,56,0.0178571428571429
"short-su","3","T0000260","SD","SD78","MA",0,56,0
"upward ramp","3","T0000260","SD","SD78","MA",0,56,0
"unclear","3","T0000260","SD","SD78","MA",0,56,0
"flat","1","T0000308","WK","WK95","MA",2,144,0.0138888888888889
"flat-mz","1","T0000308","WK","WK95","MA",0,144,0
"flat-z","1","T0000308","WK","WK95","MA",1,144,0.00694444444444444
"short","1","T0000308","WK","WK95","MA",56,144,0.388888888888889
"short-ur","1","T0000308","WK","WK95","MA",70,144,0.486111111111111
"step down","1","T0000308","WK","WK95","MA",0,144,0
"step up","1","T0000308","WK","WK95","MA",0,144,0
"complex","1","T0000308","WK","WK95","MA",1,144,0.00694444444444444
"short-c","1","T0000308","WK","WK95","MA",8,144,0.0555555555555556
"short-dr","1","T0000308","WK","WK95","MA",3,144,0.0208333333333333
"short-su","1","T0000308","WK","WK95","MA",0,144,0
"upward ramp","1","T0000308","WK","WK95","MA",3,144,0.0208333333333333
"unclear","1","T0000308","WK","WK95","MA",0,144,0
"flat","2","T0000308","WK","WK95","MA",2,16,0.125
"flat-mz","2","T0000308","WK","WK95","MA",0,16,0
"flat-z","2","T0000308","WK","WK95","MA",0,16,0
"short","2","T0000308","WK","WK95","MA",12,16,0.75
"short-ur","2","T0000308","WK","WK95","MA",2,16,0.125
"step down","2","T0000308","WK","WK95","MA",0,16,0
"step up","2","T0000308","WK","WK95","MA",0,16,0
"complex","2","T0000308","WK","WK95","MA",0,16,0
"short-c","2","T0000308","WK","WK95","MA",0,16,0
"short-dr","2","T0000308","WK","WK95","MA",0,16,0
"short-su","2","T0000308","WK","WK95","MA",0,16,0
"upward ramp","2","T0000308","WK","WK95","MA",0,16,0
"unclear","2","T0000308","WK","WK95","MA",0,16,0
"flat","3","T0000308","WK","WK95","MA",1,13,0.0769230769230769
"flat-mz","3","T0000308","WK","WK95","MA",0,13,0
"flat-z","3","T0000308","WK","WK95","MA",0,13,0
"short","3","T0000308","WK","WK95","MA",9,13,0.692307692307692
"short-ur","3","T0000308","WK","WK95","MA",0,13,0
"step down","3","T0000308","WK","WK95","MA",0,13,0
"step up","3","T0000308","WK","WK95","MA",0,13,0
"complex","3","T0000308","WK","WK95","MA",1,13,0.0769230769230769
"short-c","3","T0000308","WK","WK95","MA",2,13,0.153846153846154
"short-dr","3","T0000308","WK","WK95","MA",0,13,0
"short-su","3","T0000308","WK","WK95","MA",0,13,0
"upward ramp","3","T0000308","WK","WK95","MA",0,13,0
"unclear","3","T0000308","WK","WK95","MA",0,13,0
